Task,LeftLabel,RightLabel,faceImages,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,image_2.started,slider.started,text_2.started,slider_2.started,text_3.started,mouse_7.started,image_3.started,slider.response,slider.rt,slider_2.response,slider_2.rt,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,EndText.started,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
treatment,0% Never,100% Always,images\ NASALTIP_035_M_F_N_A.png,0,0,0,0,0,34,34,58,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_LM_203_026_N.png,0,0,0,0,0,35,35,71,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,"images\ NASALTIP_CFD_WF_002_004_N.png
",0,0,0,0,0,36,36,72,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LIP_CFD_BF_224_002_N.png,0,0,0,0,0,37,37,47,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_WF_200_099_N.png,0,0,0,0,0,38,38,92,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ RCHEEK_006_M_F_N_A.png,0,0,0,0,0,39,39,76,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,"images\ LCHEEK_CFD_AM_233_236_N.png
",0,0,0,0,0,40,40,26,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_BM_234_172_N.png,0,0,0,0,0,41,41,11,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_WF_250_167_N.png,0,0,0,0,0,42,42,36,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_AM_233_236_N.png,0,0,0,0,0,43,43,7,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,"images\ LCHEEK_CFD_BM_234_172_N.png
",0,0,0,0,0,44,44,30,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_LM_201_057_N.png,0,0,0,0,0,45,45,70,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_BF_214_308_N.png,0,0,0,0,0,46,46,84,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_AF_231_357_N.png,0,0,0,0,0,47,47,80,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,"images\ RCHEEK_CFD_BM_234_172_N.png
",0,0,0,0,0,48,48,87,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,"images\ NASALTIP_CFD_AM_233_236_N.png
",0,0,0,0,0,49,49,64,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_WF_200_099_N.png,0,0,0,0,0,50,50,16,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,"images\ LIP_CFD_WF_002_004_N.png
",0,0,0,0,0,51,51,53,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_LM_201_057_N.png,0,0,0,0,0,52,52,89,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,"images\ LIP_CFD_BM_234_172_N.png
",0,0,0,0,0,53,53,49,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\FOREHEAD_006_M_F_N_A.png,0,0,0,0,0,54,54,0,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LIP_006_M_F_N_A.png,0,0,0,0,0,55,55,38,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,"images\ LIP_136_M_M_N_A.png
",0,0,0,0,0,56,56,41,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_WM_212_097_N.png,0,0,0,0,0,57,57,94,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,"images\ LCHEEK_136_M_M_N_A.png
",0,0,0,0,0,58,58,22,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_AF_237_223_N.png,0,0,0,0,0,59,59,62,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_LM_201_057_N.png,0,0,0,0,0,60,60,13,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,"images\ NASALTIP_136_M_M_N_A.png
",0,0,0,0,0,61,61,60,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_BF_224_002_N.png,0,0,0,0,0,62,62,28,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_LF_224_176_N.png,0,0,0,0,0,63,63,31,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_BF_224_002_N.png,0,0,0,0,0,64,64,9,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LIP_035_M_F_N_A.png,0,0,0,0,0,65,65,39,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LIP_CFD_LF_224_176_N.png,0,0,0,0,0,66,66,50,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_BF_224_002_N.png,0,0,0,0,0,67,67,66,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LIP_CFD_LM_203_026_N.png,0,0,0,0,0,68,68,52,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_AF_245_143_N.png,0,0,0,0,0,69,69,82,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_LF_224_176_N.png,0,0,0,0,0,70,70,69,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_AF_231_357_N.png,0,0,0,0,0,71,71,23,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LCHEEK_035_M_F_N_A.png,0,0,0,0,0,72,72,20,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_WM_212_097_N.png,0,0,0,0,0,73,73,18,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_LM_201_057_N.png,0,0,0,0,0,74,74,32,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LIP_CFD_WF_250_167_N.png,0,0,0,0,0,75,75,55,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_BM_213_134_N.png,0,0,0,0,0,76,76,86,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\FOREHEAD_087_M_M_N_A.png,0,0,0,0,0,77,77,2,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LIP_CFD_BF_214_308_N.png,0,0,0,0,0,78,78,46,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_WF_250_167_N.png,0,0,0,0,0,79,79,74,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_AF_237_223_N.png,0,0,0,0,0,80,80,24,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_LF_224_176_N.png,0,0,0,0,0,81,81,12,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_AF_237_223_N.png,0,0,0,0,0,82,82,81,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_AF_245_143_N.png,0,0,0,0,0,83,83,25,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_LF_224_176_N.png,0,0,0,0,0,84,84,88,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_BF_224_002_N.png,0,0,0,0,0,85,85,85,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_AF_245_143_N.png,0,0,0,0,0,86,86,6,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LIP_087_M_M_N_A.png,0,0,0,0,0,87,87,40,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_LM_203_026_N.png,0,0,0,0,0,88,88,14,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_BM_213_134_N.png,0,0,0,0,0,89,89,10,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,"images\ NASALTIP_CFD_BM_234_172_N.png
",0,0,0,0,0,90,90,68,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,"images\ RCHEEK_CFD_AM_233_236_N.png
",0,0,0,0,0,91,91,83,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ NASALTIP_006_M_F_N_A.png,0,0,0,0,0,92,92,57,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_BM_213_134_N.png,0,0,0,0,0,93,93,29,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_AF_245_143_N.png,0,0,0,0,0,94,94,63,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LIP_CFD_LF_224_176_N.png,0,0,0,0,1,0,95,50,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LIP_CFD_LM_203_026_N.png,0,0,0,0,1,1,96,52,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_WM_212_097_N.png,0,0,0,0,1,2,97,37,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,"images\ LIP_CFD_WF_002_004_N.png
",0,0,0,0,1,3,98,53,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_WF_200_099_N.png,0,0,0,0,1,4,99,73,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_LM_203_026_N.png,0,0,0,0,1,5,100,14,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_AM_233_236_N.png,0,0,0,0,1,6,101,7,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,"images\ LIP_CFD_BM_234_172_N.png
",0,0,0,0,1,7,102,49,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ RCHEEK_006_M_F_N_A.png,0,0,0,0,1,8,103,76,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,"images\ RCHEEK_CFD_WF_002_004_N.png
",0,0,0,0,1,9,104,91,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ RCHEEK_087_M_M_N_A.png,0,0,0,0,1,10,105,78,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_LF_224_176_N.png,0,0,0,0,1,11,106,69,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LIP_006_M_F_N_A.png,0,0,0,0,1,12,107,38,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_WF_250_167_N.png,0,0,0,0,1,13,108,17,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_AF_231_357_N.png,0,0,0,0,1,14,109,23,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_AF_237_223_N.png,0,0,0,0,1,15,110,81,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ NASALTIP_006_M_F_N_A.png,0,0,0,0,1,16,111,57,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_BM_234_172_N.png,0,0,0,0,1,17,112,11,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_BF_214_308_N.png,0,0,0,0,1,18,113,65,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h10.54.195,FaceAttractiveness,2022.2.5,143.3163694789474,
