Task,LeftLabel,RightLabel,faceImages,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,face_image_q.started,text_2.started,text_3.started,mouse_7.started,image_3.started,slider.started,slider_2.started,text_2.stopped,text_3.stopped,mouse_7.stopped,image_3.stopped,slider.response,slider.rt,slider_2.response,slider_2.rt,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,EndText.started,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
treatment,0% Never,100% Always,images\ LIP_CFD_BF_224_002_N.png,0,0,0,0,0,46,46,47,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_WM_212_097_N.png,0,0,0,0,0,47,47,75,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_BM_213_134_N.png,0,0,0,0,0,48,48,29,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_WF_200_099_N.png,0,0,0,0,0,49,49,35,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_AF_245_143_N.png,0,0,0,0,0,50,50,63,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LCHEEK_087_M_M_N_A.png,0,0,0,0,0,51,51,21,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_WF_200_099_N.png,0,0,0,0,0,52,52,73,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,"images\ NASALTIP_CFD_WF_002_004_N.png
",0,0,0,0,0,53,53,72,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,"images\ NASALTIP_CFD_BM_234_172_N.png
",0,0,0,0,0,54,54,68,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LIP_CFD_BF_214_308_N.png,0,0,0,0,0,55,55,46,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_BF_214_308_N.png,0,0,0,0,0,56,56,8,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_BM_213_134_N.png,0,0,0,0,0,57,57,67,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_LF_224_176_N.png,0,0,0,0,0,58,58,12,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,"images\ LCHEEK_CFD_BM_234_172_N.png
",0,0,0,0,0,59,59,30,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_WF_250_167_N.png,0,0,0,0,0,60,60,74,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_AF_231_357_N.png,0,0,0,0,0,61,61,80,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LIP_006_M_F_N_A.png,0,0,0,0,0,62,62,38,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_LF_224_176_N.png,0,0,0,0,0,63,63,69,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LCHEEK_035_M_F_N_A.png,0,0,0,0,0,64,64,20,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LIP_CFD_LF_224_176_N.png,0,0,0,0,0,65,65,50,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_LM_201_057_N.png,0,0,0,0,0,66,66,32,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_BM_234_172_N.png,0,0,0,0,0,67,67,11,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LIP_CFD_BM_213_134_N.png,0,0,0,0,0,68,68,48,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,"images\ LIP_CFD_BM_234_172_N.png
",0,0,0,0,0,69,69,49,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LIP_CFD_AF_231_357_N.png,0,0,0,0,0,70,70,42,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,"images\ RCHEEK_CFD_AM_233_236_N.png
",0,0,0,0,0,71,71,83,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,"images\ LIP_CFD_WF_002_004_N.png
",0,0,0,0,0,72,72,53,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_LM_203_026_N.png,0,0,0,0,0,73,73,33,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LIP_CFD_WM_212_097_N.png,0,0,0,0,0,74,74,56,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_WF_200_099_N.png,0,0,0,0,0,75,75,92,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_AF_245_143_N.png,0,0,0,0,0,76,76,25,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_LM_201_057_N.png,0,0,0,0,0,77,77,89,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LIP_CFD_LM_201_057_N.png,0,0,0,0,0,78,78,51,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_WF_200_099_N.png,0,0,0,0,0,79,79,16,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ NASALTIP_006_M_F_N_A.png,0,0,0,0,0,80,80,57,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_AF_245_143_N.png,0,0,0,0,0,81,81,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,"images\ NASALTIP_136_M_M_N_A.png
",0,0,0,0,0,82,82,60,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_BF_224_002_N.png,0,0,0,0,0,83,83,28,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,"images\ RCHEEK_CFD_WF_002_004_N.png
",0,0,0,0,0,84,84,91,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_WF_002_004_N.png,0,0,0,0,0,85,85,15,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ RCHEEK_087_M_M_N_A.png,0,0,0,0,0,86,86,78,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LIP_CFD_WF_200_099_N.png,0,0,0,0,0,87,87,54,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_AF_237_223_N.png,0,0,0,0,0,88,88,81,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,"images\ LCHEEK_CFD_AM_233_236_N.png
",0,0,0,0,0,89,89,26,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\FOREHEAD_087_M_M_N_A.png,0,0,0,0,0,90,90,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_WF_250_167_N.png,0,0,0,0,0,91,91,36,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_BF_224_002_N.png,0,0,0,0,0,92,92,85,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_LF_224_176_N.png,0,0,0,0,0,93,93,31,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_LM_203_026_N.png,0,0,0,0,0,94,94,14,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,"images\ NASALTIP_136_M_M_N_A.png
",0,0,0,0,1,0,95,60,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,"images\ RCHEEK_CFD_AM_233_236_N.png
",0,0,0,0,1,1,96,83,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_WM_212_097_N.png,0,0,0,0,1,2,97,37,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,"images\ LIP_136_M_M_N_A.png
",0,0,0,0,1,3,98,41,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_AF_231_357_N.png,0,0,0,0,1,4,99,61,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ NASALTIP_CFD_WM_212_097_N.png,0,0,0,0,1,5,100,75,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_BF_214_308_N.png,0,0,0,0,1,6,101,27,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_AF_237_223_N.png,0,0,0,0,1,7,102,24,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LIP_CFD_BM_213_134_N.png,0,0,0,0,1,8,103,48,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LIP_CFD_BF_224_002_N.png,0,0,0,0,1,9,104,47,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ RCHEEK_CFD_BM_213_134_N.png,0,0,0,0,1,10,105,86,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LCHEEK_CFD_AF_231_357_N.png,0,0,0,0,1,11,106,23,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\ LIP_CFD_LF_224_176_N.png,0,0,0,0,1,12,107,50,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
treatment,0% Never,100% Always,images\FOREHEAD_CFD_LM_203_026_N.png,0,0,0,0,1,13,108,14,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_19h36.32.320,FaceAttractiveness,2022.2.5,139.68450855709384,
